2019-08-19 @ 20:37:20 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:39:21 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:41:23 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:43:24 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:45:26 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:47:27 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:49:29 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:51:30 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:53:32 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:55:33 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:57:35 | Data Collected, sleeping for 2 mins
2019-08-19 @ 20:59:36 | Data Collected, sleeping for 2 mins
2019-08-19 @ 21:01:37 | log run complete
2019-08-23 @ 19:00:02 | Starting Script
2019-08-23 @ 19:00:04 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:02:06 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:04:07 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:06:09 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:08:10 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:10:12 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:12:13 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:14:15 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:16:16 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:18:18 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:20:20 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:22:21 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:24:23 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:26:24 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:28:26 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:30:27 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:32:29 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:34:30 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:36:32 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:38:34 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:40:35 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:42:37 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:44:38 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:46:40 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:48:41 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:50:43 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:52:45 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:54:46 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:56:48 | Data Collected, sleeping for 2 mins
2019-08-23 @ 19:58:49 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:00:51 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:02:52 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:04:54 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:06:56 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:08:57 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:10:59 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:13:00 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:17:10 | Error!
2019-08-23 @ 20:17:10 | HTTPSConnectionPool(host='fantasy.premierleague.com', port=443): Max retries exceeded with url: /api/element-summary/106/ (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f8245027240>: Failed to establish a new connection: [Errno 110] Connection timed out',))
2019-08-23 @ 20:17:10 | Error Logged, sleeping for 2 mins
2019-08-23 @ 20:19:10 | Continuing
2019-08-23 @ 20:19:12 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:21:13 | Data Collected, sleeping for 2 mins
2019-08-23 @ 20:23:15 | Data Collected, sleeping for 2 mins
